Country_OEL;Interaction;Averagelength;Proportion
Belgium/Flanders;Continuity;2.789427464;47.68518264
China;Continuity;2.402849054;31.16114477
France;Continuity;2.51741271;28.8302766
Germany;Continuity;2.463551266;39.73564359
Japan;Continuity;2.41388626;23.31492019
Korea;Continuity;2.464299991;26.80470508
Netherlands;Continuity;2.9495106;52.84907405
OEL manga;Continuity;2.600299106;34.43080761
Sweden;Continuity;2.440987153;32.69295429
USA;Continuity;2.728670797;40.11093795
Belgium/Flanders;Discontinuity;1.777837302;6.52919327
China;Discontinuity;2.195412267;15.29073334
France;Discontinuity;2.279190292;10.99566004
Germany;Discontinuity;0.859356725;3.605329369
Japan;Discontinuity;2.369487638;16.67343718
Korea;Discontinuity;2.1414494;10.51463943
Netherlands;Discontinuity;1.47398374;5.256440677
OEL manga;Discontinuity;2.320777686;17.50235636
Sweden;Discontinuity;2.337878788;17.67696086
USA;Discontinuity;2.364601089;21.8961676
